avg_image.bmp;;;;;;;;;;;;;;;;;;;;;;
ASM (1);198023;227914;221458;230930;201176;201654;224395;190582;219155;243417;233487;219709;192440;237372;198876;220345;226541;191168;198661;246709;;216200,6
ASM (2);154726;256811;240116;193547;232414;233801;187436;204647;246942;194204;235811;214492;199650;216583;188541;235873;207547;191638;207974;227230;;213499,15
ASM (4);265377;215668;211370;253974;197504;267999;259684;237486;239845;268758;262168;265950;258448;249831;278692;265445;219940;243066;205476;241962;;245432,15
ASM (8);395698;359596;373366;417276;145860;493861;377503;345406;339953;400654;400898;394210;368864;354681;344925;440285;327139;411745;341700;390862;;371224,1
ASM (16);562742;647718;624914;550310;668178;629381;586313;571791;485624;615916;601010;653432;592864;622698;572075;598851;546229;587422;611285;502132;;591544,25
ASM (32);1045500;894517;962663;1039865;961310;862357;948045;1031273;907733;951019;943987;1121158;1022791;1049968;1132698;1026020;1116035;1156401;1094261;1017821;;1014271,1
ASM (64);1898319;1791292;1800441;1868113;1659183;1762630;2107861;1715787;2090027;1734390;1689900;1648441;1802716;1578938;1367931;2407076;1849627;1694015;1948517;1748829;;1808201,65
C++ (1);343408;383930;358648;410364;388744;377584;378522;344009;420373;382576;378462;390378;374985;352914;378592;346376;381984;393001;371940;376961;;376687,55
C++ (2);302141;284932;336997;291181;333534;298689;300063;309357;308457;269951;338951;296433;300555;301478;291711;305488;288619;320081;257677;320140;;302821,75
C++ (4);277618;312126;322631;293640;339309;310373;308497;334915;331959;288614;312637;327924;336392;353189;326068;290995;330577;332054;310177;313598;;317664,65
C++ (8);421117;425936;402505;415571;410157;384679;424516;441185;374467;429290;433240;403433;445855;436582;410120;439511;395430;430291;400267;379232;;415169,2
C++ (16);691398;609487;653826;702137;709295;602650;626903;760275;707087;560902;669923;681183;726218;580554;557483;679945;641938;623734;737846;637185;;657998,45
C++ (32);1056634;1082433;986025;1155314;1013716;1084813;885705;1068157;1179237;927642;1126328;1256043;1125699;1124372;1239261;1006144;1086490;1041373;1190745;1191082;;1091360,65
C++ (64);2217970;1790512;1832932;1968937;1680578;1907620;1902027;2619614;1719885;1807183;1966407;1874460;1729171;1592837;1961516;1856722;1791870;2080715;1798875;1900589;;1900021
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;ASM;C++;;;;;;;;;
;;;;;;;216200,6;376687,55;;;1;216,2006;376,68755;;;;;;;;;
;;;;;;;213499,15;302821,75;;;2;213,49915;302,82175;;;;;;;;;
;;;;;;;245432,15;317664,65;;;4;245,43215;317,66465;;;;;;;;;
;;;;;;;371224,1;415169,2;;;8;371,2241;415,1692;;;;;;;;;
;;;;;;;591544,25;657998,45;;;16;591,54425;657,99845;;;;;;;;;
;;;;;;;1014271,1;1091360,65;;;32;1014,2711;1091,36065;;;;;;;;;
;;;;;;;1808201,65;1900021;;;64;1808,20165;1900,021;;;;;;;;;
