small_image.bmp;;;;;;;;;;;;;;;;;;;;;;
ASM (1);17707;21078;84745;46139;49084;15710;55909;79665;15775;48605;86594;47119;46475;15902;88641;15552;15626;17611;56067;49628;;43681,6
ASM (2);54667;196270;92028;107904;96995;85907;125089;71254;90260;131466;86182;131109;82962;84966;115811;99934;51423;165972;100223;90346;;103038,4
ASM (4);192632;166626;183342;133536;156733;193722;169062;108516;199672;192661;149450;151770;148406;198475;153887;106125;147168;175037;148475;149745;;161252
ASM (8);268076;360982;339987;313515;354702;328135;325820;347333;248909;297294;288239;267525;364993;287243;217034;334612;81245;548091;287364;284388;;307274,35
ASM (16);417104;617889;384400;588784;556331;604837;451827;433136;403388;543536;416439;570480;387774;599410;630910;572605;418188;512447;474547;593659;;508884,55
ASM (32);794104;1016248;884969;511809;870754;954000;750506;852455;784114;869117;998918;669125;910222;699060;804978;852500;1080107;726488;523316;1147987;;835038,85
ASM (64);1535231;1519574;1590457;1874120;1823041;1743199;1263792;1474792;1198898;1888854;1487893;1451289;1556915;1296762;1337606;1536907;1134335;2271313;1421578;1248552;;1532755,4
C++ (1);516825;63918;67711;68685;58501;28558;26087;112329;28704;91314;59595;68036;100219;31662;96739;27440;91960;65861;61939;73177;;86963
C++ (2);99998;100005;115615;103916;123952;139542;101531;92611;96087;125595;102823;100169;63405;108472;77557;53223;94838;105948;147499;103862;;102832,4
C++ (4);200141;148144;184539;216331;200399;200953;168381;147742;119962;188875;163977;160431;204395;169756;183007;185555;186928;144717;176899;139088;;174511
C++ (8);319051;264741;279896;293927;358405;274987;331240;315907;300772;317720;250060;280205;322623;322370;299406;313293;352559;316235;342750;343236;;309969,15
C++ (16);527989;479671;592207;533206;504967;445485;458234;462102;468079;319082;676552;438654;586498;571790;479538;566184;667821;562894;435373;578584;;517745,5
C++ (32);993465;767251;954098;892423;675289;926418;856615;870751;746429;1008537;981574;838371;917897;841867;825589;806958;826587;804626;728986;824662;;854419,65
C++ (64);1603297;1383864;1347658;1522505;1539079;1751293;1699234;1184814;1388691;1370649;1805080;1266459;635399;1078898;1750491;2214214;1870996;1572601;1553164;1641802;;1509009,4
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;ASM;C++;;;;;;
;;;;;;;;;;43681,6;86963;;;1;43,6816;86,963;;;25MB;;;
;;;;;;;;;;103038,4;102832,4;;;2;103,0384;102,8324;;;;;;
;;;;;;;;;;161252;174511;;;4;161,252;174,511;;;;;;
;;;;;;;;;;307274,35;309969,15;;;8;307,27435;309,96915;;;;;;
;;;;;;;;;;508884,55;517745,5;;;16;508,88455;517,7455;;;;;;
;;;;;;;;;;835038,85;854419,65;;;32;835,03885;854,41965;;;;;;
;;;;;;;;;;1532755,4;1509009,4;;;64;1532,7554;1509,0094;;;;;;
